,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,1.0,1.0,1.0,1.0,19.0,5.0,4.0,1.0,2.0,2.0,1.0,21.0,5.0,4.0,31.0,32.0,8.0,2.0,20.0,6.0,3.0,1.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
1,5,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,2.0,2.0,2.0,1.0,20.0,5.0,3.0,1.0,2.0,2.0,1.0,22.0,5.0,3.0,31.0,31.0,7.0,2.0,22.0,6.0,3.0,31.0,31.0,7.0,1.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
4,3,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29,15,22,0,4.0,0.0,0.0,27.0,4.0,3.0,31.0,31.0,7.0,1.0,19.0,5.0,3.0,0.0,7.0,7.0,1.0,20.0,5.0,3.0,0.0,7.0,7.0,2.0,20.0,6.0,3.0,31.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
7,6,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29,15,22,0,4.0,0.0,0.0,26.0,4.0,5.0,32.0,32.0,8.0,1.0,21.0,5.0,3.0,31.0,32.0,8.0,1.0,20.0,5.0,3.0,31.0,32.0,8.0,2.0,20.0,6.0,4.0,32.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
10,8,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,29,15,22,0,4.0,0.0,0.0,28.0,4.0,3.0,30.0,30.0,6.0,1.0,21.0,5.0,4.0,32.0,32.0,8.0,1.0,20.0,5.0,3.0,30.0,32.0,8.0,2.0,20.0,6.0,4.0,1.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
13,7,7,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,29,15,22,0,4.0,0.0,0.0,26.0,4.0,3.0,30.0,30.0,6.0,1.0,21.0,5.0,4.0,1.0,6.0,6.0,1.0,21.0,5.0,4.0,2.0,7.0,7.0,2.0,20.0,6.0,3.0,0.0,7.0,7.0,1.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
16,8,7,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,31.0,31.0,7.0,1.0,20.0,5.0,3.0,32.0,32.0,8.0,1.0,20.0,5.0,5.0,2.0,8.0,8.0,2.0,21.0,6.0,4.0,2.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
19,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,4,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,15,22,0,4.0,0.0,0.0,26.0,4.0,4.0,1.0,1.0,1.0,1.0,19.0,5.0,4.0,1.0,2.0,2.0,1.0,21.0,5.0,5.0,31.0,32.0,8.0,2.0,21.0,6.0,4.0,0.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
22,8,1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29,15,22,0,4.0,0.0,0.0,26.0,4.0,3.0,2.0,2.0,2.0,1.0,19.0,5.0,3.0,32.0,32.0,8.0,1.0,20.0,5.0,3.0,30.0,32.0,8.0,2.0,20.0,6.0,5.0,2.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
25,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29,15,22,0,4.0,0.0,0.0,27.0,4.0,3.0,30.0,30.0,6.0,1.0,21.0,5.0,5.0,0.0,6.0,6.0,1.0,21.0,5.0,4.0,2.0,8.0,8.0,2.0,20.0,6.0,5.0,32.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
28,5,7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,29,15,22,0,4.0,0.0,0.0,28.0,4.0,3.0,30.0,30.0,6.0,1.0,20.0,5.0,5.0,31.0,31.0,7.0,1.0,20.0,5.0,4.0,3.0,8.0,8.0,2.0,22.0,6.0,4.0,1.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
31,7,9,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,7,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,29,15,22,0,4.0,0.0,0.0,27.0,4.0,4.0,2.0,2.0,2.0,1.0,21.0,5.0,4.0,30.0,32.0,8.0,1.0,21.0,5.0,3.0,2.0,8.0,8.0,2.0,22.0,6.0,3.0,30.0,32.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
34,3,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29,15,22,0,4.0,0.0,0.0,28.0,4.0,4.0,1.0,1.0,1.0,1.0,19.0,5.0,3.0,30.0,31.0,7.0,1.0,21.0,5.0,3.0,30.0,32.0,8.0,2.0,21.0,6.0,4.0,0.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
37,7,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,4,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29,15,22,0,4.0,0.0,0.0,26.0,4.0,3.0,1.0,1.0,1.0,1.0,21.0,5.0,4.0,1.0,2.0,2.0,1.0,20.0,5.0,3.0,0.0,2.0,2.0,2.0,20.0,6.0,4.0,1.0,2.0,2.0,1.0,18.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
40,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,29,15,22,0,4.0,0.0,0.0,27.0,4.0,3.0,30.0,30.0,6.0,1.0,19.0,5.0,3.0,0.0,6.0,6.0,1.0,20.0,5.0,4.0,3.0,8.0,8.0,2.0,21.0,6.0,5.0,1.0,8.0,8.0,1.0,18.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,28.0
43,9,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,8,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
